h,chiF_fdproj,chiF_overlap,gap_naive_E1-E0,gap_even_E1p-E0p,gap_even_odd_E0m-E0p,E0_plus,E1_plus,E0_minus
1.000000000000000000e+00,2.766125501360457983e-01,2.766419120447949354e-01,5.513778447152617446e-07,5.584383883359230083e+00,-6.129315339551126840e-01,-3.299427518526758263e+01,-2.740989130190835255e+01,-3.360720671922269531e+01
1.030303030303030276e+00,2.784277113800922576e-01,2.784584127724087921e-01,8.748700679461762775e-07,6.090577342858370713e+00,-7.617806471881678476e-01,-3.323535429592666191e+01,-2.714477695306829119e+01,-3.399713494311482975e+01
1.060606060606060552e+00,2.803234453987997754e-01,2.803554695063326108e-01,1.368311686178458331e-06,3.532448172773783313e-01,3.080012954959983063e-01,-3.075751597883870403e+01,-3.040427116156132570e+01,-3.044951468334270572e+01
1.090909090909090828e+00,2.823033000859762054e-01,2.823367526438858022e-01,2.111103611923681456e-06,7.870554006981258510e-01,-9.383271312520236052e-01,-3.053981443234314241e+01,-2.975275903164501656e+01,-3.147814156359516602e+01
1.121212121212121104e+00,2.843714429901372243e-01,2.844063069495916807e-01,3.215324689165299787e-06,6.778646779309333681e+00,-1.055581018991489373e-01,-3.414066935944751435e+01,-2.736202258013818067e+01,-3.424622746134666329e+01
1.151515151515151603e+00,2.865322002216240671e-01,2.865686901110109375e-01,4.837416753389334190e-06,6.000510252268902889e+00,-3.647749004882072654e-01,-3.391292061624370291e+01,-2.791241036397480002e+01,-3.427769551673191017e+01
1.181818181818181879e+00,2.887910586812020841e-01,2.888292425229366245e-01,7.193427293827880931e-06,6.670852967982384030e+00,-6.851027170444012881e-02,-3.443340676613414786e+01,-2.776255379815176383e+01,-3.450191703783858799e+01
1.212121212121212155e+00,2.911539097314916336e-01,2.911938778993317101e-01,1.057868978904252799e-05,3.642691172233767816e+00,2.593290329588171517e-01,-3.305012897226078650e+01,-2.940743780002701868e+01,-3.279079993930196935e+01
1.242424242424242431e+00,2.936275729989995531e-01,2.936694230015746143e-01,1.539300244957075847e-05,1.075027441879768730e+00,-3.423146640988946388e+00,-3.108184214038465853e+01,-3.000681469850488980e+01,-3.450498878137360492e+01
1.272727272727272707e+00,2.962199901341822095e-01,2.962638614434354167e-01,2.217254228753517964e-05,6.914939530009590385e+00,3.240860889394898692e+00,-3.517127797134701694e+01,-2.825633844133742656e+01,-3.193041708195211825e+01
1.303030303030302983e+00,2.989402886606104537e-01,2.989863827629335447e-01,3.162995743366536772e-05,6.850427716630520081e+00,2.712050519588302677e-01,-3.540820810121159212e+01,-2.855778038458107204e+01,-3.513700304925276185e+01
1.333333333333333481e+00,3.017990009335426715e-01,3.018474421523364981e-01,4.470430266678704356e-05,5.725985095277827952e+00,-3.442110620983385161e-01,-3.494991263308386209e+01,-2.922392753780603414e+01,-3.529412369518220061e+01
1.363636363636363757e+00,3.048085472939948137e-01,3.048596082244614536e-01,6.262270833445882090e-05,6.392786616004197953e+00,5.324056310229181577e-01,-3.539323662962081585e+01,-2.900045001361661789e+01,-3.486083099859789769e+01
1.393939393939394034e+00,3.079831010906490807e-01,3.080370127861442597e-01,8.697591078288269273e-05,6.128298220223506121e+00,1.173314880567581042e+00,-3.543745569586191380e+01,-2.930915747563840767e+01,-3.426414081529433275e+01
1.424242424242424310e+00,3.113392781115648655e-01,3.113963247258766387e-01,1.198100148940284271e-04,5.326479037384729054e+00,1.874690219215274567e+00,-3.520945713379963848e+01,-2.988297809641490943e+01,-3.333476691458436392e+01
1.454545454545454586e+00,3.148963693932224639e-01,3.149569254290440767e-01,1.637370792764158978e-04,1.846804139273409362e+00,-5.756330789461259201e-01,-3.353727181527379031e+01,-3.169046767600038095e+01,-3.411290489421991623e+01
1.484848484848484862e+00,3.186766784673960018e-01,3.187411179439436637e-01,2.220673306752019016e-04,5.158122632622834658e-01,-1.980180658743933009e-01,-3.279238824687077880e+01,-3.227657598360849533e+01,-3.299040631274517210e+01
1.515151515151515138e+00,3.227060556013973125e-01,3.227748548439990373e-01,2.989659869641059231e-04,6.740317101230598240e+00,-1.137612172145239242e-01,-3.651978412012044117e+01,-2.977946701888984293e+01,-3.663354533733496510e+01
1.545454545454545414e+00,3.270143243197651817e-01,3.270879940231452565e-01,3.996377941035689219e-04,3.788371897531554566e+00,-1.234126485909200710e+00,-3.517458627207683719e+01,-3.138621437454528262e+01,-3.640871275798603790e+01
1.575757575757575690e+00,3.316357963807015086e-01,3.317149523951457013e-01,5.305424421848670136e-04,2.260326610430070104e-01,-2.104865173483744911e+00,-3.294656791604246848e+01,-3.272053525499946147e+01,-3.505143308952621339e+01
1.606060606060605966e+00,3.366098054960302566e-01,3.366951193406464427e-01,6.996439880708749115e-04,5.442198890939160094e+00,3.993113188569999750e+00,-3.674912574168476453e+01,-3.130692685074560444e+01,-3.275601255311476478e+01
1.636363636363636243e+00,3.419812386092698775e-01,3.420735392722917823e-01,9.166972609619961077e-04,5.486092048811993749e+00,-5.989389174610053601e-01,-3.676976559374069353e+01,-3.128367354492869978e+01,-3.736870451120169889e+01
1.666666666666666741e+00,3.478010976316770475e-01,3.479012522511482075e-01,1.193573928226498992e-03,5.665213428686755037e+00,1.304030928433775216e+00,-3.736434720825322842e+01,-3.169913377956647338e+01,-3.606031627981945320e+01
1.696969696969697017e+00,3.541269854514872417e-01,3.542360096364660649e-01,1.544630406669966760e-03,2.285499908770965760e+00,1.120611234452951521e+00,-3.506523758160543025e+01,-3.277973767283446449e+01,-3.394462634715247873e+01
1.727272727272727293e+00,3.610235665826319607e-01,3.611425916094646027e-01,1.987119106182433370e-03,4.295277724467311486e+00,1.498567335070148943e-01,-3.658755319977126419e+01,-3.229227547530395270e+01,-3.643769646626424930e+01
1.757575757575757569e+00,3.685629082880218510e-01,3.686931782098668009e-01,2.541643516643432577e-03,1.803335297622652433e+00,-1.060125602558208868e+00,-3.621231795552767352e+01,-3.440898265790502109e+01,-3.727244355808588239e+01
1.787878787878787845e+00,3.768246588934565655e-01,3.769675580578280005e-01,3.232656368339803521e-03,5.532903412008273847e+00,2.427048462509930005e+00,-3.825589259854888979e+01,-3.272298918654061595e+01,-3.582884413603895979e+01
1.818181818181818343e+00,3.858959876718938697e-01,3.860530157773212068e-01,4.088998452182579513e-03,2.037087066447874406e+00,-1.920732397278030135e+00,-3.610935768072662455e+01,-3.407227061427875014e+01,-3.803009007800465469e+01
1.848484848484848619e+00,3.958711907626776272e-01,3.960439560746209509e-01,5.144473629961510142e-03,5.126362866873357405e+00,2.250493842285941071e+00,-3.881057483376507378e+01,-3.368421196689171637e+01,-3.656008099147913271e+01
1.878787878787878896e+00,4.068508228714253772e-01,4.070410393186563169e-01,6.438453036530233931e-03,4.177475245264950843e+00,2.466848198032778328e+00,-3.850609840590806954e+01,-3.432862316064311869e+01,-3.603925020787529121e+01
1.909090909090909172e+00,4.189402343827729469e-01,4.191496567607089219e-01,8.016498437747543448e-03,4.869508042074905063e+00,7.400707833232758048e-01,-3.929748163727295207e+01,-3.442797359519804701e+01,-3.855741085394967627e+01
1.939393939393939448e+00,4.322473420227785357e-01,4.324777551634184647e-01,9.930991100276287398e-03,5.450381899711238987e+00,2.550567997378450968e+00,-3.934223080196747446e+01,-3.389184890225623548e+01,-3.679166280458902349e+01
1.969696969696969724e+00,4.468793365357469627e-01,4.471325019128613576e-01,1.224174834910485288e-02,4.524685820473010267e+00,1.031468580370564325e+00,-3.963565871636010485e+01,-3.511097289588709458e+01,-3.860419013598954052e+01
2.000000000000000000e+00,4.629382205742551548e-01,4.632157355466404169e-01,1.501660521442005347e-02,2.218837260991151084e+00,-9.172607907912322389e-01,-3.870922529000252865e+01,-3.649038802901137757e+01,-3.962648608079376089e+01
2.030303030303030276e+00,4.805148592082753023e-01,4.808180920079507814e-01,1.833193328772608766e-02,2.586543700922021571e+00,-1.652483427859714027e+00,-3.851204841511532351e+01,-3.592550471419330194e+01,-4.016453184297503753e+01
2.060606060606060552e+00,4.996813244878974269e-01,5.000112657249644599e-01,2.227306321084654428e-02,4.502734871609831657e+00,1.714199549098410102e+00,-4.065065950661079341e+01,-3.614792463500096176e+01,-3.893645995751238331e+01
2.090909090909090828e+00,5.204813849498238776e-01,5.208384528110343581e-01,2.693457138200017198e-02,3.367180625056398924e+00,1.170756569928961710e+00,-4.011640106589162968e+01,-3.674922044083523076e+01,-3.894564449596266797e+01
2.121212121212121104e+00,5.429190601106717029e-01,5.433029257595478612e-01,3.242038583424999842e-02,2.521513745293681552e+00,-2.041668218316935679e+00,-3.903971000313860884e+01,-3.651819625784492729e+01,-4.108137822145554452e+01
2.151515151515151381e+00,5.669453706652761715e-01,5.673547132101219859e-01,3.884366142185058379e-02,3.054661021387488518e+00,1.693088958071832906e+00,-3.976825930718455027e+01,-3.671359828579706175e+01,-3.807517034911271736e+01
2.181818181818181657e+00,5.924436894924709485e-01,5.928759447826337237e-01,4.632637122210780944e-02,5.476280856199409186e-01,-2.970836851536510892e+00,-3.876006027679454036e+01,-3.821243219117459944e+01,-4.173089712833105125e+01
2.212121212121211933e+00,6.192144964082172409e-01,6.196655981671739255e-01,5.499856047536866299e-02,4.094235802524828216e+00,-7.559740665364955703e-01,-4.097152541249628399e+01,-3.687728960997145577e+01,-4.172749947903277956e+01
2.242424242424242209e+00,6.469607772362302445e-01,6.474249478749527498e-01,6.499721271588754234e-02,6.945985363655893252e-01,-8.573594571478935222e-01,-3.984490422889893324e+01,-3.915030569253334392e+01,-4.070226368604682676e+01
2.272727272727272485e+00,6.752759302208277692e-01,6.757454937833529129e-01,7.646468637645398303e-02,3.065752187395290207e+00,-8.348940286749311213e-01,-4.111769293167665751e+01,-3.805194074428136730e+01,-4.195258696035158863e+01
2.303030303030302761e+00,7.036364049173197133e-01,7.041017551223660575e-01,8.954669544777971169e-02,7.049286886973291644e-01,-2.903142477513057429e+00,-3.945111457526785159e+01,-3.874618588657052243e+01,-4.235425705278090902e+01
2.333333333333333481e+00,7.314018001821456227e-01,7.318514316789759278e-01,1.043898307258146474e-01,4.222180817442527712e+00,1.182403429411813534e+00,-4.286062619824628683e+01,-3.863844538080375912e+01,-4.167822276883447330e+01
2.363636363636363757e+00,7.578250427898626240e-01,7.582458514399093019e-01,1.211386490796328985e-01,3.570701486587445572e+00,7.015464084388938204e-01,-4.354187890705347996e+01,-3.997117742046603439e+01,-4.284033249861458614e+01
2.393939393939394034e+00,7.820748025196816444e-01,7.824525549704475225e-01,1.399323960547107504e-01,6.845490802384475160e-01,-2.421845000699875072e+00,-4.132835601794018743e+01,-4.064380693770173991e+01,-4.375020101864006250e+01
2.424242424242424310e+00,8.032712086311297739e-01,8.035912379966703156e-01,1.609014694884933760e-01,4.036313164020299382e+00,8.428142757601122526e-01,-4.425015004288881215e+01,-4.021383687886851277e+01,-4.340733576712869990e+01
2.454545454545454586e+00,8.205340672476895136e-01,8.207821391437164493e-01,1.841637743160404739e-01,2.712571873751194573e+00,-3.636105700783431871e-01,-4.383048182604878917e+01,-4.111790995229759460e+01,-4.419409239612713236e+01
2.484848484848484862e+00,8.330405466415918836e-01,8.332039098668531096e-01,2.098211554670328383e-01,2.453925425514199787e+00,7.394346147423007665e-01,-4.439343378845168075e+01,-4.193950836293748097e+01,-4.365399917370937999e+01
2.515151515151515138e+00,8.400870044004159487e-01,8.401553597270350338e-01,2.379561199274817795e-01,1.975488725001660839e+00,-2.376347623813757082e-01,-4.341234748179333280e+01,-4.143685875679167196e+01,-4.364998224417470851e+01
2.545454545454545414e+00,8.411477719679000264e-01,8.411142058406539945e-01,2.686290642777677817e-01,2.625367961329395428e+00,-3.358114216352490189e-01,-4.477422341965808528e+01,-4.214885545832868985e+01,-4.511003484129333430e+01
2.575757575757575690e+00,8.359230315265708811e-01,8.357846523754375312e-01,3.018762059494051186e-01,3.614663520500585037e-01,-1.421174540680276266e+00,-4.324213611798056434e+01,-4.288066976593050583e+01,-4.466331065866084060e+01
2.606060606060606410e+00,8.243687157221029072e-01,8.241269910946869004e-01,3.377083741618349677e-01,3.394490900131366118e+00,3.116639995920252204e+00,-4.632500380825057817e+01,-4.293051290811921206e+01,-4.320836381233032597e+01
2.636363636363636687e+00,8.067036745333600045e-01,8.063643248679142062e-01,3.761107534796295226e-01,8.529984539487713846e-01,-5.382589503976547007e-01,-4.541953644708662807e+01,-4.456653799313785669e+01,-4.595779539748428277e+01
2.666666666666666963e+00,7.833928477110779776e-01,7.829653911883838191e-01,4.170435968301049456e-01,1.852420289297299405e+00,-1.039470658657279500e+00,-4.548710867734416752e+01,-4.363468838804686811e+01,-4.652657933600144702e+01
2.696969696969697239e+00,7.551089347033301813e-01,7.546059004326366448e-01,4.604438461140105687e-01,2.700988183886934735e+00,2.628612497645335111e-01,-4.705799864453013726e+01,-4.435701046064320252e+01,-4.679513739476560374e+01
2.727272727272727515e+00,7.226781453690319657e-01,7.221141040680834067e-01,5.062275283973036721e-01,2.784220216601376308e+00,4.153048504555556519e-02,-4.734865107222153569e+01,-4.456443085562015938e+01,-4.730712058717598012e+01
2.757575757575757791e+00,6.870178333772283263e-01,6.864083186286507043e-01,5.542927434107127738e-01,3.400654684600105782e+00,5.097172533217815271e-01,-4.812933615187135672e+01,-4.472868146727125094e+01,-4.761961889854957519e+01
2.787878787878788067e+00,6.490737533490704703e-01,6.484342731649661573e-01,6.045230294016761263e-01,3.654145120317856765e+00,1.477994589470796427e+00,-4.858151124385150155e+01,-4.492736612353364478e+01,-4.710351665438070512e+01
2.818181818181818343e+00,6.097638484934395642e-01,6.091090631876738826e-01,6.567908904487111954e-01,3.432258438841103043e+00,2.020105511694090694e+00,-4.808017077345864010e+01,-4.464791233461753706e+01,-4.606006526176454940e+01
2.848484848484848619e+00,5.699332991246729430e-01,5.692763491715879809e-01,7.109612861636662728e-01,3.320093068746118092e+00,3.367242919096256060e-01,-4.899297531374102022e+01,-4.567288224499490212e+01,-4.865625102183139461e+01
2.878787878787878896e+00,5.303231194625221967e-01,5.296752552119698976e-01,7.668949184093989402e-01,3.023893926815908628e+00,7.136552752852836079e-01,-4.929314514236299516e+01,-4.626925121554708653e+01,-4.857948986707771155e+01
2.909090909090909172e+00,4.915524127526302300e-01,4.909227935279147914e-01,8.244511921568857815e-01,2.015658101121452717e+00,6.958964690880051762e-01,-4.902883437450132220e+01,-4.701317627337986949e+01,-4.833293790541331703e+01
2.939393939393939448e+00,4.541127131905308145e-01,4.535084054957394528e-01,8.834907721247589052e-01,3.663186928423151301e+00,1.716262531048151629e+00,-5.021424874783744485e+01,-4.655106181941429355e+01,-4.849798621678929322e+01
2.969696969696969724e+00,4.183718880904356285e-01,4.177979899822048537e-01,9.438776980168839259e-01,3.822557785347051151e+00,2.245968551959343529e+00,-5.099309939924184931e+01,-4.717054161389479816e+01,-4.874713084728250578e+01
3.000000000000000000e+00,3.845847870772265975e-01,3.840446467506808403e-01,1.005481055555456749e+00,3.909206571014301801e+00,2.084727276058046641e+00,-5.141541158222078423e+01,-4.750620501120648242e+01,-4.933068430616273758e+01
3.030303030303030276e+00,3.529078433252897384e-01,3.524033260760006669e-01,1.068176226439661036e+00,4.020591717210145077e+00,1.649383264801734583e+00,-5.185114799875377400e+01,-4.783055628154362893e+01,-5.020176473395203942e+01
3.060606060606060552e+00,3.234154798000976605e-01,3.229472209653749815e-01,1.131845757794813778e+00,3.656597855347754944e+00,3.101788531005176708e+00,-5.205021719024976079e+01,-4.839361933490200585e+01,-4.894842865924458408e+01
3.090909090909090828e+00,2.961165250748172273e-01,2.956842106716095486e-01,1.196379901514667665e+00,4.159243993606089873e+00,1.290146289821002767e+00,-5.268359617660990324e+01,-4.852435218300381337e+01,-5.139344988678890047e+01
3.121212121212121104e+00,2.709695298692035847e-01,2.705721493523327581e-01,1.261676877581173528e+00,3.348950645132475756e+00,1.927235269554792296e+00,-5.266146396217086334e+01,-4.931251331703838758e+01,-5.073422869261607104e+01
3.151515151515151381e+00,2.478963044926113246e-01,2.475323250816785503e-01,1.327642914637706895e+00,4.198047945228630340e+00,1.779030408138631003e+00,-5.346995553982516469e+01,-4.927190759459653435e+01,-5.169092513168653369e+01
3.181818181818181657e+00,2.267933799644535064e-01,2.264609413327178800e-01,1.394192117240741879e+00,4.068449892880828145e+00,1.229104511436972302e+00,-5.378999896060712160e+01,-4.972154906772629346e+01,-5.256089444917014930e+01
3.212121212121212377e+00,2.075413608048719827e-01,2.072384037710151006e-01,1.461246203642815544e+00,4.601530295706979246e+00,1.463223419057413821e+00,-5.444225325794956660e+01,-4.984072296224258736e+01,-5.297902983889215278e+01
3.242424242424242653e+00,1.900123014945605260e-01,1.897366828096380686e-01,1.528734151612894721e+00,2.753658186713764167e+00,1.522008911941327369e+00,-5.390487611051179329e+01,-5.115121792379802912e+01,-5.238286719857046592e+01
3.272727272727272929e+00,1.740753308972677604e-01,1.738248966987043787e-01,1.596591783371025031e+00,4.821903866520528936e+00,2.665754561993402660e+00,-5.532637682017074354e+01,-5.050447295365021461e+01,-5.266062225817734088e+01
3.303030303030303205e+00,1.596008019925765353e-01,1.593734364480070553e-01,1.664761314671004300e+00,4.919906319547074247e+00,1.696426319708876918e+00,-5.576354997920329026e+01,-5.084364365965621602e+01,-5.406712365949441335e+01
3.333333333333333481e+00,1.464632141533302456e-01,1.462568977039779838e-01,1.733190887622484411e+00,4.174250056110842877e+00,2.898548856389822959e+00,-5.577966385245414216e+01,-5.160541379634329928e+01,-5.288111499606431920e+01
3.363636363636363757e+00,1.345431816469264963e-01,1.343559961064499930e-01,1.801834102169948437e+00,4.631571213215458727e+00,2.471694038415030548e+00,-5.639801339071945563e+01,-5.176644217750399690e+01,-5.392631935230442508e+01
3.393939393939394034e+00,1.237286200715971146e-01,1.235587752113076476e-01,1.870649557204927760e+00,5.245644503803212899e+00,3.624628661306900312e+00,-5.709546367009509993e+01,-5.184981916629188703e+01,-5.347083500878819962e+01
3.424242424242424310e+00,1.139154137192531779e-01,1.137612755108818874e-01,1.939600409081563726e+00,4.989945019659863590e+00,3.289290124350920053e+00,-5.735873075976589774e+01,-5.236878574010603415e+01,-5.406944063541497769e+01
3.454545454545454586e+00,1.050076338049750618e-01,1.048676918635749189e-01,2.008653952748311156e+00,4.154259321416056139e+00,1.889079956955328043e+00,-5.719614284001406901e+01,-5.304188351859801287e+01,-5.530706288305874097e+01
3.484848484848484862e+00,9.691746290542377351e-02,9.679031842679819420e-02,2.077781228695293692e+00,5.863652723413174783e+00,3.390597841243305766e+00,-5.844587982370609325e+01,-5.258222710029291846e+01,-5.505528198246278748e+01
3.515151515151515138e+00,8.956492753391578909e-02,8.944933571619628765e-02,2.146956657403421787e+00,5.690366782203398088e+00,2.273782727780869095e+00,-5.887597875356726007e+01,-5.318561197136386198e+01,-5.660219602578639098e+01
3.545454545454545414e+00,8.287750299844637292e-02,8.277231478004409837e-02,2.216157701824869264e+00,5.751833876317768102e+00,3.308409985166228751e+00,-5.929751889066233872e+01,-5.354568501434457062e+01,-5.598910890549610997e+01
3.575757575757575690e+00,7.678962381716318564e-02,7.669382084962705903e-02,2.285364557605532809e+00,1.357229239188463055e+00,8.210552015501093592e-02,-5.750780562906147964e+01,-5.615057638987301658e+01,-5.742570010890646870e+01
3.606060606060605966e+00,7.124217051051960625e-02,7.115481825969993679e-02,2.354559870171904379e+00,2.093623566644708944e-01,5.722525205508901536e-01,-5.732879831965627915e+01,-5.711943596299180825e+01,-5.675654579910538899e+01
3.636363636363636243e+00,6.618193308661966812e-02,6.610221658931436650e-02,2.423728477417860461e+00,6.132506150603354911e+00,4.767180258267615045e+00,-6.068586917907277467e+01,-5.455336302846941976e+01,-5.591868892080515963e+01
3.666666666666666963e+00,6.156109677313169326e-02,6.148825804075386259e-02,2.492857176478338488e+00,6.241416308462326867e+00,3.550397529795006335e+00,-6.113637995535956549e+01,-5.489496364689723862e+01,-5.758598242556455915e+01
3.696969696969697239e+00,5.733673496338603792e-02,5.727010776723773233e-02,2.561934512949910925e+00,3.108098328402675747e+00,1.406559559870899534e+00,-5.996631786107580808e+01,-5.685821953267313233e+01,-5.855975830120490855e+01
3.727272727272727515e+00,5.347033667026638432e-02,5.340931741315557701e-02,2.630950590859960414e+00,6.290499858898897401e+00,4.871266612917509065e+00,-6.195464172127647373e+01,-5.566414186237757633e+01,-5.708337510835896467e+01
3.757575757575757791e+00,4.992736850353169525e-02,4.987142299128777267e-02,2.699896901692099505e+00,6.653468405251253159e+00,2.779445922069193387e+00,-6.253376080584391872e+01,-5.588029240059266556e+01,-5.975431488377472533e+01
3.787878787878788067e+00,4.667686386345947652e-02,4.662550145972943483e-02,2.768766170827156259e+00,6.780656546452298983e+00,4.738880291978453840e+00,-6.299548741785024220e+01,-5.621483087139794321e+01,-5.825660712587178836e+01
3.818181818181818343e+00,4.369105754967740618e-02,4.364385119970393134e-02,2.837552219821205313e+00,6.185273598992509392e+00,3.356535527593109691e+00,-6.309641270621158782e+01,-5.691113910721907843e+01,-5.973987717861847813e+01
3.848484848484848619e+00,4.094504944823342679e-02,4.090161298542227541e-02,2.906249843052293613e+00,6.839631633254803944e+00,3.250692553722259959e+00,-6.382267965542143173e+01,-5.698304802216662779e+01,-6.057198710169917177e+01
3.878787878787878896e+00,3.841649309220308145e-02,3.837646400661753887e-02,2.974854697338599863e+00,4.607097449220276530e+00,2.341824176993895890e+00,-6.310595905569230268e+01,-5.849886160647202615e+01,-6.076413487869840679e+01
3.909090909090909172e+00,3.608533666310995841e-02,3.604840581594714877e-02,3.043363203264711103e+00,2.728825292338271424e+00,1.291539731215763709e+00,-6.256681584390252482e+01,-5.983799055156425339e+01,-6.127527611268676111e+01
3.939393939393939448e+00,3.393356105645455034e-02,3.389945835152730069e-02,3.111772457038810558e+00,7.372841515135455381e+00,3.702406353327774013e+00,-6.528925141810822197e+01,-5.791640990297276659e+01,-6.158684506478044796e+01
3.969696969696969724e+00,3.194497679287394004e-02,3.191343189712370076e-02,3.180080151802599175e+00,7.505573921263483328e+00,4.764615104058130157e+00,-6.575646829393441806e+01,-5.825089437267093473e+01,-6.099185318987628790e+01
4.000000000000000000e+00,3.010501630555146788e-02,3.007581250713542431e-02,3.248284507430405199e+00,5.267063122594421998e-01,4.288877113720843681e-01,-6.266829736296559616e+01,-6.214159105070615396e+01,-6.223940965159351180e+01
